job_title,avg_salary
Data Analytics Lead,405000.0
Principal Data Engineer,328333.33
Financial Data Analyst,275000.0
Principal Data Scientist,215242.43
Director of Data Science,195074.0
Data Architect,177873.91
Applied Data Scientist,175655.0
Analytics Engineer,175000.0
Data Specialist,165000.0
Head of Data,160162.6
